Site,Title,Company,Ratings,Reviews,Experience,Salary,Location,Description,Job_Post_History,URL
Naukri,Manager/Senior Manager - Data Analyst,Huquo Consulting Pvt. Ltd,3.3,8 Reviews,2-7 Yrs ,Not disclosed ,"Ahmedabad, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Jaipur, Delhi / NCR, Bangalore/Bengaluru ", BA / BS/ BTech minimum educational requirement Proficiency in Excel required Have prior...,3 Days Ago,https://www.naukri.com/job-listings-manager-senior-manager-data-analyst-huquo-consulting-pvt-ltd-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-ahmedabad-jaipur-delhi-ncr-bangalore-bengaluru-2-to-7-years-120123913028
Naukri,Data Analyst - Python/Power BI,Huquo Consulting Pvt. Ltd,3.3,8 Reviews,5-10 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Bangalore/Bengaluru, Delhi / NCR ", Min 5+ years of relevant experience in understanding applications from end-to-end persp...,11 Days Ago,https://www.naukri.com/job-listings-data-analyst-python-power-bi-huquo-consulting-pvt-ltd-kolkata-mumbai-hyderabad-secunderabad-lucknow-chennai-ahmedabad-bangalore-bengaluru-delhi-ncr-5-to-10-years-040123907354
Naukri,Data Analyst,Experis,,,3-6 Yrs ,Not disclosed ,"Hybrid - Ahmedabad, Noida, Ghaziabad, Panchkula, Agra, Faridabad, Gurgaon/Gurugram(Sector-24 Gurgaon), Shimla, Delhi / NCR ", This role would be 3 PM -12 AM (IST) shift toRequirement gathering and evaluation of cl...,2 Days Ago,https://www.naukri.com/job-listings-data-analyst-experis-noida-ghaziabad-panchkula-agra-faridabad-ahmedabad-gurgaon-gurugram-shimla-delhi-ncr-3-to-6-years-130123005251
Naukri,Data Analyst,S&P Global Inc.,4.3,1059 Reviews,0-6 Yrs ,Not disclosed ,Ahmedabad , Willing to work in 24*5 environment on rotational shifts Graduate / MBA / PGDM (Finance...,9 Days Ago,https://www.naukri.com/job-listings-data-analyst-s-p-global-inc-ahmedabad-0-to-6-years-060123501179
Naukri,Data Analyst - SQL/Metadata/ETL Tools,Huquo Consulting Pvt. Ltd,3.3,8 Reviews,3-8 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Pune, Chennai, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru ", Experience with relational database designmodeling using tools such as ERstudio or ERwi...,3 Days Ago,https://www.naukri.com/job-listings-data-analyst-sql-metadata-etl-tools-huquo-consulting-pvt-ltd-kolkata-mumbai-pune-chennai-ahmedabad-gurgaon-gurugram-delhi-ncr-bangalore-bengaluru-3-to-8-years-120123912615
Naukri,Financial Data Analyst / Financial Analyst,Apttus,4.3,44 Reviews,5-7 Yrs ,Not disclosed ,Ahmedabad , Responsibilities:Manage and maintain the entire ARR monthly reporting cycle including A...,4 Days Ago,https://www.naukri.com/job-listings-financial-data-analyst-financial-analyst-conga-software-private-limited-ahmedabad-5-to-7-years-110123908451
Naukri,Lead Data Analyst,Hi-tech Digital Solutions Llp,4.1,195 Reviews,4-9 Yrs ,Not disclosed ,Hybrid - Ahmedabad(Prahlad Nagar) ," Experience in handling reporting packages like Business Objects, programming (Javascrip...",4 Days Ago,https://www.naukri.com/job-listings-lead-data-analyst-hi-tech-digital-solutions-llp-ahmedabad-4-to-9-years-110123012121
Naukri,Data Analyst,S&P Global Inc.,4.3,1059 Reviews,1-6 Yrs ,Not disclosed ,Ahmedabad , Minimum of a Bachelors / College degree The candidate must have a positive attitude tow...,5 Days Ago,https://www.naukri.com/job-listings-data-analyst-s-p-global-inc-ahmedabad-1-to-6-years-100123500671
Naukri,Senior Data Analyst,Huptech HR Solutions,,,4-9 Yrs ,Not disclosed ,Ahmedabad , Intermediate Level of Experience in Python Development: MustHands-on experience with SQ...,9 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-huptech-hr-solutions-ahmedabad-4-to-9-years-060123912143
Naukri,Senior Data Analyst,Huptech HR Solutions,,,3-6 Yrs ,Not disclosed ,Hybrid - Ahmedabad , Responsibility:-Intermediate Level of Experience in Python Development: MustHands-on ex...,9 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-huptech-hr-solutions-ahmedabad-3-to-6-years-060123909230
Naukri,Senior Data Analyst,Huptech HR Solutions,,,4-8 Yrs ,Not disclosed ,Hybrid - Ahmedabad , Responsibility:-Intermediate Level of Experience in Python Development: MustHands-on ex...,13 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-huptech-hr-solutions-ahmedabad-4-to-8-years-020123906007
Naukri,Manager / Senior Manager - Data Analyst,Huquo Consulting Pvt. Ltd,3.3,8 Reviews,2-7 Yrs ,Not disclosed ,"Ahmedabad, Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Jaipur, Delhi / NCR, Bangalore/Bengaluru ", BA / BS/BTech minimum educational requirement Proficiency in Excel required Have prior ...,30+ Days Ago,https://www.naukri.com/job-listings-manager-senior-manager-data-analyst-huquo-consulting-pvt-ltd-mumbai-hyderabad-secunderabad-pune-gurgaon-gurugram-ahmedabad-jaipur-delhi-ncr-bangalore-bengaluru-2-to-7-years-291122908798
Naukri,Senior Data Analyst,Huptech HR Solutions,,,3-6 Yrs ,Not disclosed ,Ahmedabad , Should have knowledge of data-cleaning processes and tools Should be able to guide the ...,19 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-huptech-hr-solutions-ahmedabad-3-to-6-years-271222911456
Naukri,Senior Data Analyst - SQL/Python,Huptech HR Solutions,,,4-6 Yrs ,Not disclosed ,"Ahmedabad, Pune ", Experience: 4 to 6 yearsResponsibility :Experience : 3 to 6 years - Intermediate Level ...,19 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-sql-python-huptech-hr-solutions-pune-ahmedabad-4-to-6-years-271222911454
Naukri,Senior Data Analyst - SQL/Python,Huptech HR Solutions,,,4-6 Yrs ,Not disclosed ,"Ahmedabad, Pune, Rajasthan ", Should have knowledge of data-cleaning processes and tools Should be able to guide the ...,23 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-sql-python-huptech-hr-solutions-pune-ahmedabad-rajasthan-4-to-6-years-231222906622
Naukri,Senior Data Analyst,Mastermind Network,,,5-8 Yrs ,"18,00,000 - 22,50,000 PA. ",Ahmedabad , Roles and Responsibilities The Role will perform data analysis on the HR and organizati...,25 Days Ago,https://www.naukri.com/job-listings-senior-data-analyst-mastermind-network-ahmedabad-5-to-8-years-211222005060
Naukri,Data Analyst - Data Visualization & Reporting,Global Employees,,,5-10 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru ", build solutions to have the maximum scale and self-service ability by partners Must be ...,30+ Days Ago,https://www.naukri.com/job-listings-data-analyst-data-visualization-reporting-global-employees-kolkata-mumbai-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-5-to-10-years-281122906981
Naukri,Data Analyst,Bsharp,4.2,2 Reviews,0-1 Yrs ,Not disclosed ,"Ahmedabad, Hyderabad/Secunderabad, Bangalore/Bengaluru ", Non-Engineering Bachelors degree Call out for specific actions when required 0 to 6 mon...,30+ Days Ago,https://www.naukri.com/job-listings-data-analyst-bsharp-sales-enablers-hyderabad-secunderabad-ahmedabad-bangalore-bengaluru-0-to-1-years-101122501949
Naukri,Data Analyst - Python/Artificial Intelligence,Imindyourbusiness,,,0-2 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Visakhapatnam, Hyderabad/Secunderabad, Pune, Chennai, Delhi / NCR, Bangalore/Bengaluru ", Candidates must have ability to work from home and also in a position to use their pers...,18 Days Ago,https://www.naukri.com/job-listings-data-analyst-python-artificial-intelligence-imindyourbusiness-kolkata-mumbai-visakhapatnam-vizag-hyderabad-secunderabad-pune-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-0-to-2-years-281222906791
Naukri,Data Analyst - Python / Artificial Intelligence,Imindyourbusiness,,,0-2 Yrs ,Not disclosed ,"Ahmedabad, Kolkata, Mumbai, Hyderabad/Secunderabad, Lucknow, Chennai, Delhi / NCR, Bangalore/Bengaluru ", Candidates must have ability to work from home and also in a position to use their pers...,18 Days Ago,https://www.naukri.com/job-listings-data-analyst-python-artificial-intelligence-imindyourbusiness-kolkata-mumbai-hyderabad-secunderabad-lucknow-chennai-ahmedabad-delhi-ncr-bangalore-bengaluru-0-to-2-years-281222906763
